Időszak;2008. év;2009. év;2010. év;2011. év;2012. év;2013. év;2014. év;2015. év;2016. év;átlag;csoport
1;0.212727883;0.22486862;0.048920604;0.042858065;0.049382123;0.049465575;0.047082481;0.042530671;0.041724283;8.44%;3
2;0.02441155;0.026821874;0.038724244;0.052605127;0.057155346;0.080642835;0.092044187;0.084053511;0.077578245;5.93%;3
3;0.601472081;0.616040636;0.61907396;0.61403847;0.637184657;0.628162125;0.632802395;0.631102884;0.635123788;62.39%;2
4;0.141712051;0.087266339;0.077948432;0.159255576;0.189584799;0.175295864;0.168490445;0.17496659;0.132973501;14.53%;3
5;0.105681797;0.050815056;0.081801512;0.133505542;0.139713403;0.11691047;0.103829136;0.083106292;0.080241509;9.95%;3
6;0.006525325;0.006196797;0.006255265;0.012382877;0.013532067;0.012706201;0.008142767;0.008784827;0.012100337;0.96%;4
7;0.756478783;0.832640909;1.061462732;1.235199406;1.297120265;1.322691305;1.327754283;1.445571475;1.458363956;119.30%;1
8;0.016595814;0.016677838;0.022128022;0.031730193;0.03824706;0.048763685;0.054276514;0.027124958;0.028670422;3.16%;4
9;0.000325146;0.00132518;0.001011406;0.002730531;0.00447203;0.004979498;0.003251779;0.002826401;0.001676891;0.25%;4
10;0.007163398;0.007901771;0.005500458;0.004568967;0.005928402;0.004520057;0.004867193;0.006765206;0.009975529;0.64%;4
11;0.000531041;0.001444062;0.00592459;0.005699863;0.005273907;0.004004939;0.002406943;0.003450853;0.006541633;0.39%;4
12;0.006541956;0.003328705;0.004504969;0.00864321;0.01346136;0.010620052;0.009381955;0.00545706;0.005904147;0.75%;4
13;0.022323857;0.033844341;0.029084138;0.02735687;0.022584031;0.03436119;0.028897191;0.028492758;0.030673846;2.86%;4
14;0.019291469;0.026265437;0.038977826;0.037811952;0.027283322;0.033188803;0.021009452;0.019600777;0.026112126;2.77%;4
15;8.73628E-05;7.72911E-05;8.34581E-05;2.9586E-05;6.67902E-05;6.43026E-05;0.000217415;2.30838E-05;1.33849E-05;0.01%;4
16;5.80536E-05;4.86952E-05;0.000688612;0.000693638;0.000251899;0.000630651;0.000274658;0.000225329;0.000460725;0.04%;4
17;7.99814E-06;4.52773E-05;0.000109174;0.000386536;0.000272976;0.000425731;0.000264935;0.000967165;0.000335382;0.03%;4
18;0.001485626;0.001426723;0.010995918;0.007230168;0.010027357;0.001861893;0.001902819;0.001911336;0.002686946;0.44%;4
19;0.010230264;0.012265798;0.005082398;0.003786015;0.005120344;0.006539631;0.006136937;0.005662585;0.007944787;0.70%;4
20;0;0;0;0;0;0;0;0;0;0.00%;4
