"","V1","V2","V3","V4","V5"
"1","év","adatbázis","RF","regr","elemszam"
"2","2008","train","0.0443823556921704","0.13958746422759","19406"
"3","2008","test","0.103743703628476","0.139153315216978","21987"
"4","2009","train","0.0469648620610488","0.148252245152428","20184"
"5","2009","test","0.1071234932692","0.146323107940573","18047"
"6","2010","train","0.0450237455554073","0.141469614880627","20215"
"7","2010","test","0.107593879653652","0.145413461132966","19568"
"8","2011","train","0.0431510011888804","0.13319487682011","20119"
"9","2011","test","0.105760480053881","0.138650771503313","19462"
"10","2012","train","0.0413672027384963","0.130772942027322","20430"
"11","2012","test","0.0946691706158112","0.127735674823158","19990"
"12","2013","train","0.036407975864116","0.115683789397251","19076"
"13","2013","test","0.0905981517923929","0.122499780320892","19903"
"14","2014","train","0.0525863278595704","0.151088336882398","18638"
"15","2014","test","0.118868952195852","0.152559627052458","21501"
"16","2015","train","0.0385548553225913","0.124496813357195","19364"
"17","2015","test","0.0899537205837561","0.124630151988684","31426"
"18","2016","train","0.0378170935839176","0.1195725708719","19824"
"19","2016","test","0.091560939525756","0.124450225276339","23623"
