"","V1","V2","V3"
"1","pred_diff_B_RF_ordered","0.270649328384792"," "
"2","n","978"," "
"3","kor","40.8783231083845","avg"
"4","szolgho","81.7494887525562","avg"
"5","iskveg","3.03885480572597","avg"
"6","feor_2","26.8486707566462","avg"
"7","feor_2","29","mode"
"8","ara","3.99693251533742","avg"
"9","kra","1.12167689161554","avg"
"10","letszam","1498.75044734151","avg"
"11","ttip","2","mode"
"12","kshregio","2","mode"
"13","ag1","3","mode"
"14","kol","0.310838445807771","avg"
"15","kag","0.049079754601227","avg"
"16","ksz","0.00920245398773006","avg"
"17","ev","2008"," "
